,Company,TypeName,Inches,Screen Resolution,X_res,Y_res,Full HD,Quad HD+,4K Ultra HD,IPS,Touch Screen,CPU Name,CPU Freq (GHz),RAM (GB),HDD,SSD,Flash Storage,GPU,OS,Weight (kg),Price
161,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,AMD Radeon,Windows 10,2.13,38787.84
162,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,0,256,0,Nvidia GeForce GTX,Windows 10,2.5,57489.119999999995
163,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.1,4,1000,0,0,Intel HD Graphics,Windows 10,2.1,18541.440000000002
164,MSI,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.4,95850.71999999996
165,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Pentium Quad,1.1,4,1000,0,0,Intel HD Graphics,Windows 10,2.1,19367.812799999992
166,Dell,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,1000,128,0,Nvidia GeForce GTX,Windows 10,2.56,56502.90720000001
167,Acer,Notebook,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,0,256,0,Nvidia GeForce MX,Windows 10,3.0,45501.11999999997
168,HP,Notebook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,4,500,0,0,Intel UHD Graphics,Windows 10,1.49,40173.12000000001
169,Huawei,Ultrabook,13.0,2160x1440,2160,1440,0,1,0,1,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.05,71874.72000000006
170,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,6,2000,0,0,AMD Radeon,Windows 10,2.71,37242.719999999994
171,Lenovo,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,2.9,4,500,0,0,AMD Radeon,No OS,2.2,16463.519999999993
172,Toshiba,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.4,4,500,0,0,Intel HD Graphics,Windows 10,2.0,26053.92000000001
173,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Nvidia GeForce MX,Windows 10,2.5,49177.440000000024
174,Dell,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.4,8,1000,0,0,Intel HD Graphics,Windows 10,2.3,24455.519999999982
175,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,4,0,128,0,Intel HD Graphics,Windows 10,2.1,23922.719999999987
176,MSI,Gaming,18.4,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.9,32,1000,512,0,Nvidia GeForce GTX,Windows 10,4.4,149130.71999999994
177,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,1000,128,0,AMD Radeon,Windows 10,1.9,43316.63999999998
178,HP,2 in 1 Convertible,13.3,3840x2160,3840,2160,0,0,1,1,1,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.29,79866.72000000007
179,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,16,2000,256,0,AMD Radeon,Linux,2.02,55890.720000000045
180,Dell,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.23,74538.72000000003
181,Lenovo,2 in 1 Convertible,13.9,3840x2160,3840,2160,0,0,1,1,1,Intel Core i7,1.8,16,0,512,0,Intel UHD Graphics,Windows 10,1.4,98514.72000000007
182,Toshiba,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,8,0,128,0,Intel HD Graphics,Windows 10,2.0,42251.04000000002
183,Xiaomi,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,0,256,0,Nvidia GeForce MX,No OS,1.95,63882.719999999994
184,Dell,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i7,1.8,16,0,512,0,Nvidia GeForce MX,Windows 10,2.77,82530.71999999999
185,Dell,Notebook,15.6,3840x2160,3840,2160,0,0,1,0,1,Intel Core i7,2.8,16,0,512,0,Nvidia GeForce GTX,Windows 10,2.06,127712.15999999992
186,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce GTX,No OS,2.4,41505.12000000003
187,Acer,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.2,8,0,256,0,Intel HD Graphics,Windows 10,1.12,52693.91999999998
188,Dell,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,1000,128,0,AMD Radeon,Windows 10,2.8,57808.80000000002
189,Lenovo,2 in 1 Convertible,14.0,2560x1440,2560,1440,0,1,0,0,1,Intel Core i7,2.7,16,0,1000,0,Intel HD Graphics,Windows 10,1.42,150462.72
190,Vero,Notebook,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Celeron Dual,1.1,4,0,0,32,Intel HD Graphics,Windows 10,1.3,13852.80000000001
191,Xiaomi,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce MX,No OS,1.3,53274.67199999995
192,Lenovo,Notebook,17.3,1600x900,1600,900,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Nvidia GeForce MX,No OS,2.8,37189.439999999995
193,Dell,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,1,1,Intel Core i7,1.8,8,1000,0,0,Intel UHD Graphics,Windows 10,1.62,44701.92000000003
194,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,1000,0,0,Nvidia GeForce MX,Windows 10,2.5,48697.92000000003
195,Razer,Gaming,17.3,3840x2160,3840,2160,0,0,1,0,1,Intel Core i7,2.9,32,0,1000,0,Nvidia GeForce GTX,Windows 10,3.49,324954.7199999999
196,HP,Notebook,13.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,512,0,Intel UHD Graphics,Windows 10,1.49,51095.51999999997
197,HP,Gaming,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,3.35,73473.11999999995
198,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Nvidia GeForce MX,Windows 10,2.5,55677.599999999955
199,Dell,Gaming,15.6,3840x2160,3840,2160,0,0,1,1,0,Intel Core i7,2.8,16,1000,512,0,Nvidia GeForce GTX,Windows 10,2.65,98301.6000000001
200,Lenovo,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.3,4,0,128,0,Intel HD Graphics,Windows 10,2.1,26267.039999999994
201,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,1000,0,0,Nvidia GeForce MX,Windows 10,2.23,39533.76000000003
202,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,512,0,Nvidia GeForce GTX,Windows 10,3.2,93186.72000000002
203,Dell,Workstation,15.6,3840x2160,3840,2160,0,0,1,0,0,Intel Processor,3.0,16,1000,256,0,Nvidia Quadro,Windows 10,2.8,162770.39999999994
204,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,0,512,0,Nvidia GeForce GTX,No OS,2.4,74485.44
205,Dell,Notebook,15.6,1366x768,1366,768,1,0,0,0,1,Intel Core i3,2.4,6,1000,0,0,Intel HD Graphics,Windows 10,2.3,23389.920000000002
206,Dell,Ultrabook,13.3,3840x2160,3840,2160,0,0,1,1,1,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.21,103842.71999999999
207,Dell,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,1.2,77202.72000000006
208,Lenovo,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,2.2,31808.159999999978
209,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,1000,0,0,Nvidia GeForce GTX,Linux,2.4,41505.12000000003
210,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.9,74964.96
211,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,500,0,0,Intel HD Graphics,No OS,2.1,18594.719999999998
212,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,No OS,2.2,29250.719999999994
213,Huawei,Ultrabook,13.0,2160x1440,2160,1440,0,1,0,1,0,Intel Core i7,2.7,8,0,512,0,Intel HD Graphics,Windows 10,1.05,79866.72000000007
214,Dell,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,AMD Radeon,Windows 10,1.4,49650.56640000001
215,Lenovo,Notebook,17.3,1600x900,1600,900,1,0,0,0,0,Intel Core i5,2.5,8,1000,0,0,Nvidia GeForce GTX,No OS,2.8,31381.920000000024
216,HP,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Nvidia GeForce MX,Windows 10,1.63,54931.679999999964
217,Dell,Ultrabook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.6,61218.72
218,Dell,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i7,1.8,16,0,512,0,Intel UHD Graphics,Windows 10,1.62,68145.12000000002
219,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,AMD Radeon,Linux,2.2,36089.207999999984
220,Lenovo,2 in 1 Convertible,14.0,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.74,47898.71999999999
221,Toshiba,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.2,72620.63999999997
222,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,0,0,Intel UHD Graphics,Windows 10,2.1,42304.320000000014
223,Dell,Gaming,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,4.42,130873.79519999998
224,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,Nvidia GeForce MX,Windows 10,2.2,44328.96000000001
225,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,1,Intel Core i7,2.7,16,1000,0,0,AMD Radeon,Windows 10,2.3,45768.05280000003
226,Asus,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce MX,Windows 10,2.0,40972.31999999998
227,Asus,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,500,256,0,Nvidia GeForce GTX,Windows 10,2.69,47472.47999999998
228,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,1000,0,0,AMD FirePro,Windows 10,1.9,67612.31999999993
229,Asus,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.4,4,1000,0,0,Intel HD Graphics,Windows 10,2.37,21258.187200000015
230,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD E-Series,1.5,4,500,0,0,AMD Radeon,Windows 10,2.1,17582.400000000012
231,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,3.2,79866.72000000007
232,Dell,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.6,45767.52000000002
233,Acer,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,1,1,Intel Core i5,2.3,8,0,256,0,Intel HD Graphics,Windows 10,1.6,36709.920000000006
234,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,16,0,256,0,AMD Radeon,Linux,2.36,47898.71999999999
235,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Linux,2.1,20779.2
236,Asus,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,2.5,4,1000,128,0,AMD Radeon,Windows 10,2.2,30636.000000000007
237,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.9,32,1000,512,0,Nvidia GeForce GTX,Windows 10,4.7,207259.19999999995
238,Acer,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce GTX,Windows 10,2.5,45074.87999999998
239,Lenovo,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.0,8,0,128,0,Intel HD Graphics,Windows 10,2.2,31381.920000000024
240,Asus,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,1000,128,0,Nvidia GeForce MX,Windows 10,2.1,61005.60000000003
241,Asus,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,1000,128,0,Nvidia GeForce GTX,No OS,2.69,47365.920000000006
242,Dell,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce GTX,Windows 10,2.56,46833.12000000003
243,Lenovo,2 in 1 Convertible,13.9,1920x1080,1920,1080,1,0,0,1,1,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,1.38,57489.119999999995
244,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,2000,128,0,AMD Radeon,Windows 10,2.2,52480.8
245,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,1,Intel Core i5,2.5,8,1000,0,0,Intel HD Graphics,Windows 10,2.04,29783.520000000026
246,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.9,16,0,256,0,Nvidia GeForce GTX,Windows 10,3.6,159786.72000000012
247,HP,Notebook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,4,500,0,0,Intel UHD Graphics,Windows 10,1.49,35964.000000000015
248,Apple,Ultrabook,13.3,2560x1600,2560,1600,0,1,0,1,0,Intel Core i5,3.1,8,0,512,0,Intel Iris,Mac,1.37,108691.19999999998
249,Dell,2 in 1 Convertible,15.6,1920x1080,1920,1080,1,0,0,1,1,Intel Core i7,1.8,8,1000,0,0,Intel UHD Graphics,Windows 10,2.08,43636.320000000014
250,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,4.3,95850.71999999996
251,Asus,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,3.0,4,1000,0,0,AMD Radeon,Windows 10,1.68,24988.320000000018
252,Lenovo,2 in 1 Convertible,13.9,1920x1080,1920,1080,1,0,0,1,1,Intel Core i7,1.8,8,0,512,0,Intel UHD Graphics,Windows 10,1.37,98514.72000000007
253,Acer,Notebook,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i3,2.7,4,0,256,0,Nvidia GeForce MX,Windows 10,3.0,37402.55999999999
254,Dell,Ultrabook,13.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,1.41,50562.71999999997
255,HP,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,AMD A-Series,2.5,8,0,128,0,AMD Radeon,Windows 10,1.91,23757.552000000018
256,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,16,1000,0,0,Nvidia GeForce MX,Windows 10,2.9,56423.51999999995
257,MSI,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,1000,512,0,Nvidia GeForce GTX,Windows 10,4.14,133146.7200000001
258,Lenovo,2 in 1 Convertible,15.6,1920x1080,1920,1080,1,0,0,1,1,Intel Core i7,2.8,8,0,512,0,Nvidia GeForce GTX,Windows 10,2.0,90522.72000000004
259,Dell,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,1000,128,0,AMD Radeon,Windows 10,2.8,60845.759999999966
260,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,0,256,0,Intel HD Graphics,No OS,2.2,23656.32000000002
261,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,1.6,4,500,0,0,Intel HD Graphics,Windows 10,2.1,38468.15999999999
262,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,4,1000,0,0,Intel HD Graphics,Windows 10,2.18,35004.960000000014
263,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,1000,0,0,AMD Radeon,Windows 10,2.24,30103.199999999986
264,Dell,2 in 1 Convertible,15.6,1920x1080,1920,1080,1,0,0,0,1,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,2.67,42570.719999999994
265,Asus,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i7,1.8,8,0,1024,0,Intel UHD Graphics,Windows 10,1.1,79866.72000000007
266,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,4,1000,0,0,Intel HD Graphics,No OS,2.2,24881.760000000006
267,HP,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,1000,0,0,Nvidia GeForce MX,Windows 10,2.5,54239.03999999999
268,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,Intel UHD Graphics,Windows 10,2.05,46886.39999999999
269,Apple,Ultrabook,13.3,2560x1600,2560,1600,0,1,0,1,0,Intel Core i5,2.9,8,0,512,0,Intel Iris,Mac,1.37,104370.19199999998
270,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,AMD Processor,3.0,16,1000,256,0,AMD Radeon,Windows 10,3.2,82530.71999999999
271,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,0,256,0,AMD Radeon,Linux,2.14,39164.52960000001
272,Lenovo,2 in 1 Convertible,14.0,2560x1440,2560,1440,0,1,0,0,1,Intel Core i7,2.6,16,0,512,0,Intel HD Graphics,Windows 10,1.36,133146.7200000001
273,Toshiba,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i7,2.5,8,500,0,0,Nvidia GeForce M,Windows 10,2.2,43263.36000000004
274,Dell,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i7,2.7,12,1000,0,0,Intel HD Graphics,Windows 10,2.3,37992.36959999997
275,Dell,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,1000,128,0,AMD Radeon,Linux,2.8,58554.71999999999
276,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,1000,0,0,Nvidia GeForce MX,Windows 10,2.2,39693.600000000006
277,Lenovo,Notebook,17.3,1600x900,1600,900,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Windows 10,2.8,26053.92000000001
278,Lenovo,Notebook,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,1.8,8,2000,0,0,Nvidia GeForce MX,No OS,2.8,45234.71999999998
279,Lenovo,Notebook,17.3,1600x900,1600,900,1,0,0,0,0,Intel Core i7,2.7,6,1000,128,0,Nvidia GeForce MX,Windows 10,2.8,45767.52000000002
280,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,AMD Radeon,Linux,2.25,22803.840000000015
281,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce GTX,Windows 10,2.5,44169.119999999966
282,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,6,0,256,0,Intel HD Graphics,Windows 10,2.2,30849.119999999984
283,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,1.8,8,0,256,0,Nvidia GeForce MX,Windows 10,3.0,50669.279999999955
284,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,1,Intel Core i7,2.7,12,1000,0,0,Intel HD Graphics,Windows 10,2.15,35111.52
285,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,1.95,58448.15999999998
286,Asus,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Nvidia GeForce MX,Windows 10,1.7,52054.56000000003
287,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.5,62817.12000000002
288,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,1000,0,0,Nvidia GeForce MX,No OS,2.2,35112.052800000005
289,Acer,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.5,2,0,16,0,Intel HD Graphics,Chrome OS,2.19,10602.72
290,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,1000,0,0,Nvidia GeForce GTX,Windows 10,3.0,63243.35999999996
291,HP,Notebook,17.3,1600x900,1600,900,1,0,0,0,0,Intel Core i3,2.0,8,1000,0,0,Intel HD Graphics,Windows 10,2.54,26053.92000000001
292,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,0,256,0,Nvidia GeForce GTX,Windows 10,2.0,97449.12000000002
293,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,0,256,0,Intel UHD Graphics,Windows 10,2.05,39373.919999999984
294,Lenovo,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,8,1000,0,0,Nvidia GeForce GTX,Windows 10,3.2,69210.71999999994
295,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,0,256,0,Nvidia GeForce GTX,Linux,2.5,52161.119999999995
296,Dell,Workstation,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.9,16,0,256,0,Nvidia Quadro,Windows 10,3.42,153705.34080000003
297,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,2.4,6,1000,0,0,AMD Radeon,Windows 10,2.4,26586.71999999998
298,Asus,Ultrabook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,16,0,512,0,Nvidia GeForce MX,Windows 10,1.63,78215.03999999998
299,Asus,Notebook,14.0,1366x768,1366,768,1,0,0,0,0,Intel Core i3,2.4,4,0,128,0,Intel HD Graphics,Windows 10,1.3,27119.519999999993
300,Asus,Gaming,17.3,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.9,113060.15999999997
301,Lenovo,Notebook,17.3,1600x900,1600,900,1,0,0,0,0,Intel Core i5,2.5,6,1000,0,0,Nvidia GeForce GTX,Windows 10,2.8,34578.71999999998
302,Lenovo,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Core i5,2.5,8,2000,0,0,Nvidia GeForce MX,No OS,2.2,29250.719999999994
303,Asus,Gaming,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.8,8,1000,128,0,Nvidia GeForce GTX,Windows 10,2.5,67399.19999999995
304,Lenovo,Notebook,15.6,1366x768,1366,768,1,0,0,0,0,Intel Pentium Quad,1.1,4,1000,0,0,Intel HD Graphics,No OS,2.2,19180.26719999999
305,HP,2 in 1 Convertible,13.3,1920x1080,1920,1080,1,0,0,0,1,Intel Core i7,2.8,16,0,256,0,Intel HD Graphics,Windows 10,1.28,105227.99999999993
306,Toshiba,Notebook,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.5,8,0,256,0,Nvidia GeForce M,Windows 10,2.2,55571.039999999964
307,Lenovo,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,1000,128,0,Nvidia GeForce MX,Windows 10,2.3,43636.320000000014
308,HP,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i3,2.0,4,1000,0,0,Intel HD Graphics,Windows 10,1.86,24988.320000000018
309,Lenovo,Notebook,13.3,1920x1080,1920,1080,1,0,0,1,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.1,53226.71999999997
310,Dell,Ultrabook,13.3,3840x2160,3840,2160,0,0,1,1,1,Intel Core i7,1.8,16,0,1000,0,Intel UHD Graphics,Windows 10,1.21,133146.7200000001
311,MSI,Gaming,15.6,1920x1080,1920,1080,1,0,0,1,0,Intel Core i7,2.8,16,1000,256,0,Nvidia GeForce GTX,Windows 10,2.8,111834.72000000002
312,Acer,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,AMD A-Series,2.2,8,0,256,0,AMD Radeon,Windows 10,2.23,24988.320000000018
313,Asus,2 in 1 Convertible,11.6,1366x768,1366,768,1,0,0,0,1,Intel Celeron Dual,1.1,2,0,0,32,Intel HD Graphics,Windows 10,1.1,14652.000000000005
314,Dell,Notebook,15.6,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,1.6,8,1000,128,0,AMD Radeon,Windows 10,2.33,44968.31999999998
315,HP,2 in 1 Convertible,13.3,3840x2160,3840,2160,0,0,1,1,1,Intel Core i7,1.8,16,0,1000,0,Intel UHD Graphics,Windows 10,1.29,130482.72
316,Lenovo,Notebook,13.3,1366x768,1366,768,1,0,0,0,0,Intel Celeron Dual,1.6,4,0,0,16,Intel HD Graphics,Chrome OS,1.45,24503.471999999987
317,HP,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i5,2.5,8,0,256,0,Intel HD Graphics,Windows 10,1.95,52214.39999999999
318,Acer,Notebook,11.6,1366x768,1366,768,1,0,0,0,0,Intel Pentium Quad,1.6,4,0,0,128,Intel HD Graphics,Windows 10,1.4,25840.79999999998
319,HP,Notebook,14.0,1920x1080,1920,1080,1,0,0,0,0,Intel Core i7,2.7,8,0,256,0,Intel HD Graphics,Windows 10,1.48,68837.75999999994
320,Lenovo,Notebook,17.3,1600x900,1600,900,1,0,0,0,0,Intel Core i5,2.5,4,1000,0,0,Nvidia GeForce MX,Windows 10,2.79,31381.920000000024
